Fecha Transferencia,Fecha Producción,Fecha Descongelamiento,Línea celular,Tipo celular,Días de cultivo celular,% Confluencia,Cantidad de Pasajes bool,Cantidad de Pasajes numeric,"Tiempo con bajo suero (DMEM 0,5% SFB) en horas",Origen,% Maduración,Calidad,% Clivaje,Medio Placas del día,Día cambio de medio,Día de evolución,Grado embrionario,Fragmentación celular,ø Eje menor,ø Eje mayor,Tipo de ovocito,Tipo embrión,Yegua receptora N°,Días post-ovulación,Preñez
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,256,5,Sin éxito
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,598 LV,5,Exitosa
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,III,No,,,Con ZP,Fresco,580,5,Exitosa
19/10/2023,10/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,6,100,0,1,96,Local,60.44,Sin observaciones,37.29,Global,6,D9,III,Sí,785.2,804.1,Con ZP,Fresco,660,4,Sin éxito
19/10/2023,10/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,6,100,0,1,96,Local,60.44,Sin observaciones,37.29,Global,6,D9,II,No,679,673.6,Con ZP,Fresco,660,4,Sin éxito
19/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D8,II,No,760.4,818.1,Con ZP,Fresco,384,4,Exitosa
19/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D7,I,No,850,865.9,Con ZP,Fresco,549,4,Exitosa
19/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D7,I,No,833.8,915.7,Con ZP,Fresco,342,4,Exitosa
19/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D7,II,No,654.1,708.3,Con ZP,Fresco,447,4,Sin éxito
19/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D7,II,Sí,694.1,759.4,Con ZP,Fresco,662,4,Exitosa
19/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D7,II,No,663.4,795,Con ZP,Fresco,275,4,Exitosa
19/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D7,III,No,588.3,598.1,Con ZP,Fresco,493,4,Sin éxito
20/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D9,III,Sí,648.3,664.1,Con ZP,Fresco,446,5,Sin éxito
20/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D8,II,No,798.3,802,Con ZP,Fresco,198,5,Sin éxito
20/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D8,III,Sí,720,780.6,Con ZP,Fresco,189,5,Sin éxito
25/10/2023,18/10/2023,11/10/2023,Salpicada K348,FB-E,7,100,0,3,48,Extranjero,61.31,Sin observaciones,40,Global,5,D7,II,No,765,782.4,Con ZP,Fresco,338 LV,5,Exitosa
26/10/2023,19/10/2023,11/10/2023,Open Suma K291,MSC-E,8,100,0,1,72,Local,57.42,Sin observaciones,52.1,Global,5,D7,II,No,740.9,742.3,Con ZP,Fresco,335,4,Sin éxito
27/10/2023,18/10/2023,11/10/2023,Salpicada K348,FB-E,7,100,0,3,48,Extranjero,61.31,Sin observaciones,40,Global,5,D9,III,No,732.1,760,Con ZP,Fresco,639,5,Sin éxito
27/10/2023,19/10/2023,11/10/2023,Open Suma K291,MSC-E,8,100,0,1,72,Local,57.42,Sin observaciones,52.1,Global,5,D8,II,No,839,895,Con ZP,Fresco,732,5,Sin éxito
31/10/2023,24/10/2023,19/10/2023,Santa Ana K372,MSC-E,5,100,0,1,96,Local,58.85,Sin observaciones,50,Global,6,D7,II,No,865,865.8,Con ZP,Fresco,388,5,Sin éxito
31/10/2023,24/10/2023,19/10/2023,Santa Ana K372,MSC-E,5,100,0,1,96,Local,58.85,Sin observaciones,50,Global,6,D7,II,No,858.4,879.1,Con ZP,Fresco,505,4,Exitosa
