Fecha Transferencia,Fecha Producción,Fecha Descongelamiento,Línea celular,Tipo celular,Días de cultivo celular,% Confluencia,Cantidad de Pasajes bool,Cantidad de Pasajes numeric,"Tiempo con bajo suero (DMEM 0,5% SFB) en horas",Origen,% Maduración,Calidad,% Clivaje,Medio Placas del día,Día cambio de medio,Día de evolución,Grado embrionario,Fragmentación celular,ø Eje menor,ø Eje mayor,Tipo de ovocito,Tipo embrión,Yegua receptora N°,Días post-ovulación,Preñez,Nacimientos
7/12/2023,29/11/2023,23/11/2023,Jive K293,MSC-E,6,100,0,1,48,Local,62.48,Sin observaciones,53.33,F12,5,D8,I,No,908.8,916.3,Con ZP,Fresco,636,4,Exitosa,EXITOSO
7/12/2023,29/11/2023,23/11/2023,Jive K293,MSC-E,6,100,0,1,48,Local,62.48,Sin observaciones,53.33,F12,5,D8,II,No,796.4,818,Con ZP,Fresco,487,4,Exitosa,EXITOSO
7/12/2023,29/11/2023,23/11/2023,Jive K293,MSC-E,6,100,0,1,48,Local,62.48,Sin observaciones,53.33,F12,5,D8,III,Sí,662.1,716.3,Con ZP,Fresco,521,4,Exitosa,EXITOSO
7/12/2023,30/11/2023,23/11/2023,Zippy K207,MSC-E,7,100,0,1,72,Local,58.27,Sin observaciones,37.21,F12,6,D7,I,No,833.3,839.8,Con ZP,Fresco,446,4,Exitosa,EXITOSO
7/12/2023,30/11/2023,23/11/2023,Zippy K207,MSC-E,7,100,0,1,72,Local,58.27,Sin observaciones,37.21,F12,6,D7,II,Sí,837.4,845.6,Con ZP,Fresco,382,4,Exitosa,EXITOSO
7/12/2023,30/11/2023,23/11/2023,Zippy K207,MSC-E,7,100,0,1,72,Local,58.27,Sin observaciones,37.21,F12,6,D7,II,No,780.6,799.6,Con ZP,Fresco,68,4,Exitosa,EXITOSO
8/12/2023,30/11/2023,23/11/2023,Zippy K207,MSC-E,7,100,0,1,72,Local,58.27,Sin observaciones,37.21,F12,6,D8,III,No,,,Con ZP,Fresco,383,5,Exitosa,EXITOSO
8/12/2023,30/11/2023,23/11/2023,Zippy K207,MSC-E,7,100,0,1,72,Local,58.27,Sin observaciones,37.21,F12,6,D8,II,No,,,Con ZP,Fresco,360,5,Exitosa,EXITOSO
12/12/2023,5/12/2023,30/11/2023,Salpicada K348,FB-E,5,100,0,3,24,Extranjero,32.93,Sin observaciones,32.81,F12,6,D7,II,No,186.4,794,Con ZP,Fresco,169 LV,4,Exitosa,EXITOSO
13/12/2023,6/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,6,100,0,5,24,Local,39.61,Sin observaciones,29.03,F12,5,D7,II,Sí,685.3,714.6,Con ZP,Fresco,57,5,Exitosa,EXITOSO
14/12/2023,7/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,7,100,0,5,48,Local,34.62,Sin observaciones,33.33,F12,5,D7,II,No,864,957.2,Con ZP,Fresco,515,4,Exitosa,EXITOSO
14/12/2023,7/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,7,100,0,5,48,Local,34.62,Sin observaciones,33.33,F12,5,D7,II,No,728,728.1,Con ZP,Fresco,45,4,Exitosa,EXITOSO
14/12/2023,6/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,6,100,0,5,24,Local,39.61,Sin observaciones,29.03,F12,5,D8,III,Sí,687.3,742.4,Con ZP,Fresco,541,4,Exitosa,EXITOSO
15/12/2023,7/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,7,100,0,5,48,Local,34.62,Sin observaciones,33.33,F12,5,D8,II,No,852.6,861.5,Con ZP,Fresco,704,5,Exitosa,EXITOSO
15/12/2023,7/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,7,100,0,5,48,Local,34.62,Sin observaciones,33.33,F12,5,D8,III,Sí,703.8,725.9,Con ZP,Fresco,481 LV,5,Exitosa,EXITOSO
19/12/2023,12/12/2023,6/12/2023,Soviética K265,MSC-E,6,100,0,1,24,Local,62,Sin observaciones,39.78,F12,6,D7,II,No,780.8,816.6,Con ZP,Fresco,393,4,Exitosa,EXITOSO
21/12/2023,14/12/2023,7/12/2023,Urraca K347,FB-E,7,95,0,3,72,Extranjero,54.71,Sin observaciones,51.76,F12,5,D7,II,Sí,615.2,631,Con ZP,Fresco,552,4,Exitosa,EXITOSO
21/12/2023,14/12/2023,7/12/2023,Urraca K347,FB-E,7,95,0,3,72,Extranjero,54.71,Sin observaciones,51.76,F12,5,D7,II,Sí,628.3,635.2,Con ZP,Fresco,180,4,Exitosa,EXITOSO
21/12/2023,14/12/2023,7/12/2023,Urraca K347,FB-E,7,95,0,3,72,Extranjero,54.71,Sin observaciones,51.76,F12,5,D7,II,Sí,670.3,709,Con ZP,Fresco,2,4,Exitosa,EXITOSO
21/12/2023,14/12/2023,6/12/2023,Cornet Du Lys K414,FB-E,8,100,0,1,72,Extranjero,54.71,Sin observaciones,41.07,F12,5,D7,II,Sí,770.2,783.8,Con ZP,Fresco,261,4,Exitosa,EXITOSO
27/12/2023,20/12/2023,13/12/2023,A2 EMIRATOS K338,MSC-E,7,100,0,1,120,Extranjero,59.17,Sin observaciones,51,F12,5,D7,II,No,806.8,815.8,Con ZP,Fresco,376,5,Exitosa,EXITOSO
27/12/2023,20/12/2023,13/12/2023,A2 EMIRATOS K338,MSC-E,7,100,0,1,120,Extranjero,59.17,Sin observaciones,51,F12,5,D7,II,No,739,741,Con ZP,Fresco,232,5,Exitosa,SIN ÉXITO
27/12/2023,20/12/2023,13/12/2023,A2 EMIRATOS K338,MSC-E,7,100,0,1,120,Extranjero,59.17,Sin observaciones,51,F12,5,D7,II,Sí,709.9,782.9,Con ZP,Fresco,638,5,Exitosa,EXITOSO
28/12/2023,20/12/2023,13/12/2023,A2 EMIRATOS K338,MSC-E,7,100,0,1,120,Extranjero,59.17,Sin observaciones,51,F12,5,D8,I,No,884,946.5,Con ZP,Fresco,568,4,Exitosa,EXITOSO
28/12/2023,20/12/2023,13/12/2023,A2 EMIRATOS K338,MSC-E,7,100,0,1,120,Extranjero,59.17,Sin observaciones,51,F12,5,D8,II,No,807,856.4,Con ZP,Fresco,727,4,Exitosa,EXITOSO
28/12/2023,20/12/2023,13/12/2023,A2 EMIRATOS K338,MSC-E,7,100,0,1,120,Extranjero,59.17,Sin observaciones,51,F12,5,D8,II,Sí,690.8,751.7,Con ZP,Fresco,613,4,Exitosa,EXITOSO
